Chemicals_ID,Name,length,PMID
D007501,iron,23,"[21695118, 15074034, 16871216, 21814288, 17778805, 22435065, 17753598, 17790381, 17828281, 18974223, 12732565, 12522264, 17841485, 19395704, 16307081, 19397679, 17158290, 22810695, 22072996, 22795490, 18398463, 12571018, 20865156]"
C000499,iron oxides,1,[17730743]
D007532,isoleucine,2,"[17753956, 17751312]"
D013729,isoprenoid,1,[19060085]
C097897,kahalalide F,1,[17153351]
D007612,kanamycin,2,"[10086845, 8520110]"
D007616,kaolin,1,[18353634]
D007616,kaolinite,1,[17734497]
D007737,kynurenine,1,[1397130]
D000596,l-amino acids,1,[19833098]
D010649,l-phenylalanine,1,[19833098]
D014443,l-tyrosine,1,[19833098]
D019344,lactate,8,"[9103642, 21832128, 6818206, 29314949, 16348934, 18627412, 234502, 18326567]"
D007785,lactose,1,[22096500]
D002351,lambda-carrageenan,1,[16926183]
D007930,leucine,5,"[17753956, 16535711, 15908251, 1190762, 15870315]"
D008031,lignin,1,[21605311]
C499030,linderazulene,1,[15730254]
C499030,linderazulenes,1,[15730254]
D008055,lipid,27,"[20702457, 14600400, 10904864, 20398413, 9783161, 16535638, 18175939, 19837437, 15694592, 12398406, 17773336, 22842293, 12685756, 15466569, 10705450, 9148611, 16329971, 9148682, 18654820, 15908251, 7601829, 9011293, 23180309, 15803662, 6518760, 20549377, 17252516]"
D008055,lipids,21,"[10904864, 20662377, 16347037, 10591014, 21394529, 9783161, 15816935, 15694592, 10086845, 9680332, 2479840, 10705450, 17002948, 9560807, 9226891, 16329971, 7601829, 21890672, 15803662, 6518760, 20549377]"
D055666,lipopeptides,2,"[18422956, 18257536]"
D008094,lithium,1,[17753598]
C029654,lycopane,1,[9560807]
D008239,lysine,1,[17753956]
D008690,lysocline,1,[17774330]
D008274,magnesium,13,"[18964014, 21805065, 3837033, 17731593, 17901296, 10634774, 23239531, 17819041, 20558688, 15976299, 15689218, 22072996, 14649862]"
C005479,magnesium carbonate,1,[17813084]
D015636,magnesium chloride,1,[15689218]
C030298,malate,1,[16348934]
C030272,maleate,1,[16348934]
C021705,maltooligosaccharides,1,[9676240]
D008320,maltose,5,"[9676240, 8863444, 9226891, 10779724, 7545383]"
C008317,maltotriose,1,[9676240]
D008345,manganese,20,"[17832066, 17778805, 17813083, 16347886, 15525065, 17831356, 17759681, 17753598, 17790381, 17839484, 16672456, 848952, 22275098, 17841485, 16307081, 17799981, 11538653, 22695860, 24367146, 21688032]"
C027424,manganese oxide,1,[11538653]
C027424,manganese oxides,1,[17778805]
